Treatments,mOD_min_mg_protein
CT,9408.008
CT,4965.794
CT,4999.019
CT,6832.756
CT,4293.593
CT,4467.027
GT,10756.918
GT,4284.698
GT,8124.709
GT,7595.141
GT,5267.914
GT,5627.912
HT,7335.014
HT,8403.696
HT,3304.774
HT,6393.343
HT,5699.906
HT,4779.278
PT,4359.623
PT,17009.16
PT,14370.262
PT,11473.9
PT,18421.624
WT,10328.071
WT,3493.602
WT,5131.444
WT,10423.206
WT,4623.497
