Genotypes,Block,mg_ml_glucose
BB,2,0.052
BB,3,0.344
BB,4,0.469
BB,5,0.095
MWC,1,0.482
MWC,2,0.372
MWC,3,0.44
MWC,4,0.2
MWC,5,0.116
NT,1,0.075
NT,2,0.249
NT,4,0.092
NT,5,0.062
SP,1,0.236
SP,2,0.372
SP,3,0.443
SP,4,0.425
SP,5,0.218
