Treatments,mOD/min/mg protein
CT,146.261
CT,194.267
CT,57.393
CT,85.227
CT,4.429
CT,70.973
CT,74.392
CT,129.657
CT,56.919
CT,99.899
MT,1097.533
MT,1204.609
MT,993.051
MT,2499.476
MT,3811.119
MT,983.928
MT,1601.84
MT,1671.014
MT,2621.521
MT,2622.822
WT,4183.365
WT,1642.125
WT,4218.183
WT,2604.577
WT,1748.608
WT,675.609
WT,1291.124
WT,970.374
WT,1419.356
WT,2088.442
