Treatments,mOD_min_mg_protein
CT,5598.76
CT,3304.547
CT,2963.292
CT,6002.171
CT,2359.085
MT,4055.68
MT,3913.587
MT,4609.748
MT,4146.51
MT,4156.473
WT,6211.155
WT,4088.057
WT,4457.022
WT,4820.71
WT,4480.532
WT,4764.618
