Treatments,mOD_min_mg_protein
CT,121.724
CT,213.182
CT,208.834
CT,1080.19
CT,10558.151
MT,2172.761
MT,5091.277
MT,1525.413
MT,710.356
MT,1578.097
MT,7209.263
WT,2124.304
WT,412.867
WT,8712.979
WT,6255.381
WT,2517.191
WT,528.424
