Treatments,mOD_min_mg_protein
CT,735.315
CT,745.665
CT,1353.675
CT,1262.514
CT,829.275
CT,1299.223
CT,1055.88
CT,635.647
CT,1410.98
ET,1685.514
ET,2177.048
ET,1774.406
ET,1917.363
ET,1855.903
ET,929.856
ET,2498.81
ET,1723.276
ET,2340.614
MT,2618.154
MT,1443.407
MT,2019.448
MT,1671.028
MT,1591.276
MT,2054.441
MT,1890.311
MT,2356.855
MT,542.425
WT,2063.697
WT,2217.839
WT,1787.022
WT,2190.777
WT,1639.674
WT,1541.29
WT,2091.571
WT,2244.554
WT,1809.345
